Top queries,Clicks,Impressions,CTR,Position
american action network,0,71,0%,35.72
rodney king death,0,70,0%,1
william augustus jones,0,70,0%,3.56
camila yarrow musician,0,70,0%,8.4
naacp conference 2024,0,70,0%,72.74
lee darius,0,70,0%,76.36
how did rodney king die,0,69,0%,1
the reverend jesse jackson,0,69,0%,1
ben krump,0,69,0%,1.17
magic johnson equitrust,0,69,0%,6.48
al sharpton live,0,69,0%,7.48
action n,0,69,0%,8.36
rev al sharpton net worth,0,69,0%,10.09
powell adam clayton jr,0,69,0%,23.33
empowering young activists,0,69,0%,52.99
black rights organization,0,69,0%,84.38
lena horne,0,68,0%,3.29
nan academy,0,68,0%,7.78
nation action,0,68,0%,8.29
contact msnbc,0,68,0%,25.43
jessiejackson,0,67,0%,1.19
al sharpton birth date,0,67,0%,1.28
al sharpton 2025,0,67,0%,5.45
saturday rally,0,67,0%,6.93
is al sharpton married,0,67,0%,8.78
shooting of sean bell,0,67,0%,58.64
montgomery march,0,66,0%,27.21
نان,0,66,0%,43.29
tyre nichols criminal record,0,66,0%,55.98
nan harris,0,65,0%,5.42
robert ross johnson family life center,0,65,0%,7.8
liver transplant near campbell,0,65,0%,15.88
aca open enrollment period 2015,0,65,0%,18.91
the action network,0,65,0%,22.22
nrn email,0,65,0%,47.18
atl to nan,0,65,0%,59.75
al b. sure,0,64,0%,1.03
al sharpton today,0,64,0%,9.23
al sharpton's age,0,64,0%,10.72
mrs coretta scott king,0,64,0%,59.23
valerie biden,0,63,0%,1
kathy jordan,0,63,0%,4.06
ajike owens obituary,0,63,0%,16.52
rev sharpton,0,63,0%,17.95
dei costco,0,63,0%,19.67
action.com,0,63,0%,28.11
washington's birthday bash livestream,0,63,0%,56.27
michael hardy latest,0,63,0%,58.83
new orleans network support,0,63,0%,84.21
victor t curry,0,62,0%,2.9
ñan,0,62,0%,8.08
famous black religious leaders,0,62,0%,9.03
costco's union new jersey,0,62,0%,9.56
civil rights leaders today,0,62,0%,9.68
activist news network,0,62,0%,12.74
clayton powell,0,62,0%,18.77
betty shabazz death,0,62,0%,20.08
judge william garner,0,62,0%,36.42
mlk day,0,62,0%,66.44
roberta flack funeral,0,62,0%,70.27
freedom march dc,0,62,0%,75.18
national action network saturday morning rally live streaming,0,61,0%,3.44
network in action membership cost,0,61,0%,5.95
al sharpton family,0,61,0%,6.1
al sharpton's net worth,0,61,0%,7.51
march in selma,0,61,0%,28.98
dexter wade,0,61,0%,45.82
ndnc complaint,0,61,0%,49.84
what time is the rally in dc tomorrow,0,61,0%,51.39
rev adam clayton powell jr,0,60,0%,3.83
action network events,0,60,0%,7.88
1/20/25 holiday,0,60,0%,17.87
march to selma,0,60,0%,26.33
mom xxx videos,0,60,0%,30.02
selma montgomery march,0,60,0%,30.55
triumphnewsnetwork,0,60,0%,57.17
nan groupe,0,59,0%,6.07
lincoln's birthday bash livestream,0,59,0%,32.71
watch own spotlight oprah,0,59,0%,61.27
"nan media, media/news company",0,58,0%,1.69
media nan,0,58,0%,2.21
nan tech,0,58,0%,6
al sharpton whitney houston,0,58,0%,6.52
"""camila yarrow"" musician",0,58,0%,8.53
ms 224,0,58,0%,8.97
reverend al sharpton net worth,0,58,0%,9.98
justice no peace,0,58,0%,28.05
selma marches,0,58,0%,34.19
nan supreme 1,0,58,0%,91.09
martin luther king day 2025 holiday,0,57,0%,2.68
jesse l. jackson,0,57,0%,6.14
20-2025,0,57,0%,8.05
momvids.com,0,57,0%,8.98
first lady of new york city,0,57,0%,9.98
rally house,0,57,0%,26.46
watch action usa,0,57,0%,42.72
kamala harris net worth,0,57,0%,87.79
bureau of national affairs,0,57,0%,99.74
ジェシージャクソン,0,56,0%,1.95
val biden,0,56,0%,2
was adam clayton powell black,0,56,0%,4.41
nan partners,0,56,0%,6.27
how old is al sharpton wife,0,56,0%,8.25
reverendo jesse jackson,0,56,0%,11.27
civil rights,0,56,0%,11.36
does al sharpton have a twin brother?,0,55,0%,1
youth activism,0,55,0%,1
"""birthday luncheon"" ""women's radio committee""",0,55,0%,5.2
equitrust,0,55,0%,13.96
canaan christian church,0,55,0%,39.2
nan austin,0,55,0%,73.49
manhattan network support,0,55,0%,85.35
rev clayton powell,0,54,0%,1
mlk day federal holiday,0,54,0%,1.28
al sharpton girlfriend,0,54,0%,53.19
glad press releases,0,54,0%,57.15
rand paul t-shirts,0,54,0%,62.89
"january 20, 2025 holiday",0,53,0%,1.83
al sharpton daughters,0,53,0%,2.02
does al sharpton have children,0,53,0%,3.62
al sharpton dei boycott,0,53,0%,4.3
adam clayton powell harlem,0,53,0%,4.45
is al sharpton still alive,0,53,0%,7.23
2025 - 20,0,53,0%,7.53
1/20/2025,0,53,0%,11.26
robert f. smith (uk),0,53,0%,20.43
dnc convention,0,53,0%,56.81
carver business internet,0,53,0%,57.28
jeese jackson,0,52,0%,3.19
"""birthday luncheon"" ""women's national radio committee""",0,52,0%,4.94
when did adam clayton powell die,0,52,0%,7.52
dr franklyn,0,52,0%,8.77
nan martin net worth,0,52,0%,8.96
dei campaign,0,52,0%,11.31
where does al sharpton live,0,52,0%,12.23
selma to montgomery,0,52,0%,30.37
katherine jackson funeral,0,52,0%,34
hoj net,0,52,0%,51.19
protests in dc tomorrow,0,52,0%,52.04
martin luther king memorial,0,52,0%,97.44
mlk day january 2025,0,51,0%,3.02
equitrust photos,0,51,0%,3.71
congress powell,0,51,0%,4.35
jesse jackson naacp,0,51,0%,4.41
nan stand for,0,51,0%,9.76
march for washington,0,51,0%,50
charles coleman jr,0,51,0%,62.92
jesse javkson,0,50,0%,1
reverand jackson,0,50,0%,1.26
martin luther holiday 2025,0,50,0%,2.26
martin luther king jr. day 2025 date,0,50,0%,3.24
who is adam clayton powell,0,50,0%,7.76
when was thandiwe abdullah born,0,50,0%,8.2
action ne,0,50,0%,8.52
nwncp,0,50,0%,8.88
action nyc,0,50,0%,9.02
march on,0,50,0%,25.84
carver loans,0,50,0%,73.48
al sharpton morning show,0,49,0%,1.92
kathy jordan sharpton wikipedia,0,49,0%,6.94
sharpton age,0,49,0%,9.8
al sharpton home,0,49,0%,11.29
costco dei,0,49,0%,26.61
al sharpton and,0,49,0%,29.43
payroll protection program application,0,49,0%,33
apply payroll protection program,0,49,0%,36.67
no justice,0,49,0%,38.08
national media,0,49,0%,54.8
lax to nan,0,49,0%,59
civil rights activists,0,49,0%,80.37
martin luther king jr holiday 2025,0,48,0%,1
nal,0,48,0%,4.73
net worth al sharpton,0,48,0%,15.56
montgomery to selma march,0,48,0%,24.29
rally in dc tomorrow,0,48,0%,40.92
which services provide live press conference coverage for turkish clubs?,0,48,0%,47.15
scholarships 2015 for college students,0,48,0%,61.33
business nan,0,47,0%,2.98
how old is rev. al sharpton,0,47,0%,7.62
no.justice no peace,0,47,0%,9.66
al sharpton church,0,47,0%,10.72
betty shabazz died,0,47,0%,11.43
"reverend al sharpton, public figure, latest",0,47,0%,12.45
age al sharpton,0,47,0%,15.02
florida battleground session i livestream,0,47,0%,18.21
politicsnation,0,47,0%,19.53
charles coleman msnbc,0,47,0%,30.51
how do i get at&t internet for $10 a month,0,47,0%,49.13
d-support-network.net,0,47,0%,68.68
martin luther king jr. day 2018,0,47,0%,81.94
phone number rev,0,47,0%,84.13
staff nan,0,46,0%,5.57
nan education,0,46,0%,7.37
network action,0,46,0%,9.09
the national network,0,46,0%,12.22
rev al sharpton age,0,46,0%,18.87
march at washington dc,0,46,0%,43.91
shabazz betty,0,46,0%,45.98
vegas action,0,46,0%,58.83
daniel penny verdict,0,46,0%,72.5
networking app nyc,0,46,0%,84.15
network support detroit,0,46,0%,89.72
camilla cornrows,0,45,0%,1
rodney king died,0,45,0%,1
who is thandiwe abdullah,0,45,0%,3.24
victory curry,0,45,0%,3.64
desert vista n word,0,45,0%,3.98
nan',0,45,0%,5.27
donald trump al sharpton,0,45,0%,6.13
nan office,0,45,0%,7.38
kathy sharpton,0,45,0%,7.51
malcolm x reverend powell,0,45,0%,8.64
why did holly mitchell resign,0,45,0%,8.78
esq net,0,45,0%,9.56
lupita nyong'o august 28th,0,45,0%,11.87
adam clayton powell and malcolm x,0,45,0%,13.47
mlk weekend 2025,0,45,0%,15.42
annie lee cooper selma,0,45,0%,18.84
politicsnation with al sharpton,0,45,0%,42.53
ny rev,0,45,0%,47
freedom march washington dc,0,45,0%,71.82
corey johnson new york,0,45,0%,74.22
martin luther king march on washington,0,45,0%,74.38
dr king,0,45,0%,79.98
executive office space chattanooga tn,0,45,0%,91.2
king's day 2025,0,44,0%,1.05
al sharpton and martin luther king,0,44,0%,1.36
"own spotlight the culture connection to august 28th, with ava duvernay and 
rev. sharpton",0,44,0%,3.02
nansj,0,44,0%,3.68
nan?,0,44,0%,4.66
jesse jacksom,0,44,0%,5
mlk january 2025,0,44,0%,6.34
martin luther king day,0,44,0%,7.73
union nj costco,0,44,0%,12.41
march on montgomery,0,44,0%,27.73
dr nancy tyre reviews,0,44,0%,38.34
kamala harris schedule today,0,44,0%,38.84
call rev,0,44,0%,47.39
ruby campbell latest,0,44,0%,56.14
cynthia davis latest,0,44,0%,60.23
civil rights movement,0,44,0%,93.91
"adam clayton powell, jr.",0,43,0%,1
loudmouth netflix,0,43,0%,1
black lives matter youth vanguard,0,43,0%,5.09
renee black asap rocky,0,43,0%,5.33
god in the ghetto,0,43,0%,6.12
nans membership,0,43,0%,7.84
how old is al sharpton today,0,43,0%,7.88
al sharpton stabbed,0,43,0%,26.33
the selma march,0,43,0%,35.07
who was george floyd lawyer,0,43,0%,44.86
nans,0,43,0%,62.91
mlk invite livestream,0,43,0%,76.7
newways networking llc,0,43,0%,83.51
2024 national,0,42,0%,7.33
dominique sharpton husband,0,42,0%,11.83
al sharpten,0,42,0%,20.36
mn ppp lender,0,42,0%,44.36
rainbow coalition jesse jackson,0,42,0%,53.02
jamal watson,0,42,0%,54.86
power of attorney form nyc,0,42,0%,80.14
dr maria pelosi,0,42,0%,91.74
guardianship attorney jacksonville fl,0,42,0%,92.86
famous sigmas,0,41,0%,1
loud mouth show,0,41,0%,1
when is martin luther king day,0,41,0%,1
who was jesse jackson,0,41,0%,1
did al sharpton march with martin luther king,0,41,0%,1.68
nan in black,0,41,0%,1.95
nan today,0,41,0%,3.07
jonathon moseley,0,41,0%,5.37
adam clayton powel jr,0,41,0%,8.02
obama messiah,0,41,0%,9.17
how tall is al sharpton,0,41,0%,9.63
magic johnson ppp loan,0,41,0%,10
al sharpton's wife,0,41,0%,11.95
msnbc phone number,0,41,0%,18.27
civil right leaders today,0,41,0%,18.78
cenceria edwards,0,41,0%,40.85
al sharpton msnbc,0,41,0%,41.2
corey johnson nyc,0,41,0%,61.71
holly mitchell,0,41,0%,65.22
nationals founded,0,41,0%,73.83
no deposit internet service,0,41,0%,89.15
hesse jackson,0,40,0%,1
martin luther king weekend 2025,0,40,0%,1.05
nan 2025 conference,0,40,0%,5.9
al sharpton net worth 2023,0,40,0%,11.4
twin cities takedown livestream,0,40,0%,28.4
at&t food stamp wifi,0,40,0%,41.65
what happened at kamala harris rally,0,40,0%,58.73
anc tulsa,0,40,0%,58.85
network after work nyc,0,40,0%,76.33
ras,0,40,0%,81.38
prayer times nyc,0,40,0%,85.3
who shot mlk,0,40,0%,86.65
kamala harris website,0,40,0%,92.53
jessejackson,0,39,0%,2.28
black reverend activist,0,39,0%,6.1
"""birthday luncheon"" ""women's national radio committee""""",0,39,0%,6.18
where is thandiwe abdullah from,0,39,0%,7.44
nsawp,0,39,0%,8.21
wife al sharpton net worth,0,39,0%,12.13
rev al sharpton wife,0,39,0%,13.62
martin luther king sons,0,39,0%,28.62
n convention,0,39,0%,51.95
martin luther king jr national historical park tickets,0,39,0%,58.08
tyler perry awards,0,39,0%,61.72
teen activism,0,38,0%,1
camila yarrow musician social activism,0,38,0%,1.97
political action network,0,38,0%,3
jesse jackson al sharpton,0,38,0%,4.84
betty shabbaz,0,38,0%,6.61
